Date,States,Commodity,Price,,,
3-Jan-15,Delhi,Apple,7600,,,
2-Jan-15,Delhi,Apple,7350,,,
1-Jan-15,Delhi,Apple,7250,,,
30-Dec-14,Delhi,Apple,6600,,,
29-Dec-14,Delhi,Apple,5550,,,
27-Dec-14,Delhi,Apple,3750,,,
26-Dec-14,Delhi,Apple,5400,,,
25-Dec-14,Delhi,Apple,6050,,,
24-Dec-14,Delhi,Apple,6400,,,
23-Dec-14,Delhi,Apple,7571,,,
22-Dec-14,Delhi,Apple,6750,,,
20-Dec-14,Delhi,Apple,6750,,,
19-Dec-14,Delhi,Apple,6500,,,
17-Dec-14,Delhi,Apple,9500,,,
16-Dec-14,Delhi,Apple,9750,,,
12-Dec-14,Delhi,Apple,8625,,,
10-Dec-14,Delhi,Apple,9650,,,
9-Dec-14,Delhi,Apple,8125,,,
8-Dec-14,Delhi,Apple,10000,,,
5-Dec-14,Delhi,Apple,8255,,,
4-Dec-14,Delhi,Apple,9500,,,
2-Dec-14,Delhi,Apple,9500,,,
1-Dec-14,Delhi,Apple,9800,,,
23-Aug-14,Delhi,Apple,1550,,,
22-Aug-14,Delhi,Apple,1760,,,
2-Aug-14,Delhi,Apple,7250,,,
1-Aug-14,Delhi,Apple,5309,,,
29-Jul-14,Delhi,Apple,1250,,,
7-Jul-14,Delhi,Apple,4750,,,
5-Jul-14,Delhi,Apple,8300,,,
4-Jul-14,Delhi,Apple,5500,,,
3-Jul-14,Delhi,Apple,5500,,,
2-Jul-14,Delhi,Apple,10500,,,
30-Jun-14,Delhi,Apple,10000,,,
28-Jun-14,Delhi,Apple,10800,,,
27-Jun-14,Delhi,Apple,10000,,,
26-Jun-14,Delhi,Apple,9600,,,
25-Jun-14,Delhi,Apple,9600,,,
9-Jun-14,Delhi,Apple,11200,,,
6-Jun-14,Delhi,Apple,11000,,,
5-Jun-14,Delhi,Apple,11125,,,
4-Jun-14,Delhi,Apple,9800,,,
30-May-14,Delhi,Apple,11125,,,
28-May-14,Delhi,Apple,10875,,,
26-May-14,Delhi,Apple,10938,,,
23-May-14,Delhi,Apple,10900,,,
22-May-14,Delhi,Apple,9603,,,
21-May-14,Delhi,Apple,10938,,,
20-May-14,Delhi,Apple,10850,,,
19-May-14,Delhi,Apple,10875,,,
17-May-14,Delhi,Apple,10600,,,
16-May-14,Delhi,Apple,10600,,,
15-May-14,Delhi,Apple,10775,,,
14-May-14,Delhi,Apple,10725,,,
13-May-14,Delhi,Apple,10538,,,
10-May-14,Delhi,Apple,9000,,,
